id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45932404,Miguel Ángel-Camp Nou 22,370992036,Kamel,Sants-Montjuïc,Sants,41.37641,2.13083,Entire home/apt,46,30,1,2021-05-31,0.29,14,0,1,
45932927,"Paseo de Gracia Suite 1, modern, spacious and cozy",178208020,Marcel,Eixample,la Dreta de l'Eixample,41.38873,2.16821,Entire home/apt,151,3,14,2021-07-10,1.88,7,326,14,HUTB-000436
45932971,"Paseo de Gracia Suite 2, luxurious & cozy, smartTV",178208020,Marcel,Eixample,la Dreta de l'Eixample,41.39077,2.16828,Entire home/apt,182,3,17,2021-08-15,3.81,7,337,17,HUTB-000437
45936899,The nice and cozy room in the city center of BCN,372400845,Daniel,Ciutat Vella,el Barri Gòtic,41.38581,2.17096,Private room,12,1,1,2020-10-26,0.09,1,0,1,Exempt
45945743,4 BED MIXED DORM · 4 BED MIXED DORM · BED IN 4 BED MIXED DORM Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,36,1,0,,,15,333,0,AJ000593
45946816,Sagrada Familia Clot Patio 2 - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Camp de l'Arpa del Clot,41.40855,2.18572,Entire home/apt,115,3,3,2021-07-25,1.64,9,218,3,HUTB-004662
45947245,Exclusive Les Corts 2BR 4.9 Apartment w/Balcony,129000409,Olala Homes,Les Corts,les Corts,41.38525,2.13767,Entire home/apt,51,33,2,2021-06-30,0.31,13,26,2,
45947679,BED IN 6 BED MIXED DORM Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,30,1,2,2021-08-25,0.65,15,354,2,AJ000593
45947741,BED IN 14 MIXED DORM ENSUITE SantJordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,24,1,0,,,15,351,0,AJ000593
45947908,BED IN 12 MIXED DORM ENSUITE SantJordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,25,1,1,2021-07-01,0.41,15,350,1,AJ000593
45948029,BED IN 8 MIXED DORM ENSUITE Sant Jordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,27,1,0,,,15,347,0,AJ000593
45948069,BED IN 4 MIXED DORM ENSUITE SantJordi Rock Palace,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,41.39039,2.16089,Shared room,38,1,0,,,15,130,0,AJ000593
45949187,Atico Rius,370992036,Kamel,Sants-Montjuïc,el Poble Sec,41.37217,2.154,Entire home/apt,54,30,1,2021-02-05,0.14,14,0,1,
45949603,"Comodidad, tranquilidad y bien comunicado.",77241383,Pedro,Sant Martí,el Besòs i el Maresme,41.41392,2.21454,Private room,27,30,0,,,1,365,0,Exempt
45955324,Bonito estudio recién reformado!,300793647,Brian,Gràcia,la Vila de Gràcia,41.40683,2.15432,Entire home/apt,102,4,13,2021-08-19,1.22,6,83,13,HUTB011564
45956120,3 bedroom apartment in heart of Gracia.,130223809,Daiga,Gràcia,la Vila de Gràcia,41.39928,2.15289,Entire home/apt,45,32,1,2021-07-05,0.43,35,107,1,
45956784,habitación individual en el centro de barcelona,76088665,Paco,Ciutat Vella,el Barri Gòtic,41.38134,2.17825,Private room,20,30,0,,,3,253,0,
45957127,Fantastica habitacion  en el  centro de barcelona,76088665,Paco,Ciutat Vella,el Barri Gòtic,41.38121,2.17774,Shared room,15,30,0,,,3,221,0,
45962630,Midterm rental 115m2 Sagrada Familia,267600211,BBarcelona,Sant Martí,el Camp de l'Arpa del Clot,41.40931,2.18015,Entire home/apt,169,3,3,2021-03-12,2.57,38,125,3,HUTB-010732
45964571,Heart of Barcelona,2161867,Omar,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38592,2.17848,Entire home/apt,52,30,3,2021-05-02,0.38,1,310,3,
45966152,Central 2 bedroom apartment in Urgell,265147782,Sleep,Eixample,l'Antiga Esquerra de l'Eixample,41.3864,2.15638,Entire home/apt,46,30,0,,,51,0,0,
45966453,Cómodo Apartamento en hotel,14838457,Hg,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.40116,2.14884,Private room,85,1,0,,,1,346,0,Exempt
45966793,Sagrada Familia Clot Meridiana -Wifi/Private/Clean,400154,Mireia,Sant Martí,el Camp de l'Arpa del Clot,41.40854,2.18539,Entire home/apt,115,3,3,2021-07-27,0.84,9,215,3,HUTB-000081
45967884,Comfortable Two-bedroom apartment,5614931,Fisa Rentals,Eixample,la Dreta de l'Eixample,41.39116,2.17114,Entire home/apt,234,1,3,2021-08-28,1.67,40,83,3,HUTB-003560
45967918,Lujo y amplitud Espectacular Terraza Centro ciudad,372637490,Jordi,Eixample,l'Antiga Esquerra de l'Eixample,41.38776,2.1622,Entire home/apt,850,3,4,2021-08-25,1.03,2,113,4,HUTB010954
45969373,One-bedroom apartment comfortable and cosy,5614931,Fisa Rentals,Eixample,la Dreta de l'Eixample,41.39116,2.17114,Entire home/apt,158,1,9,2020-11-08,1.02,40,106,9,HUTB-004907
45969424,One-bedroom apartment in Barcelona's heart,5614931,Fisa Rentals,Eixample,la Dreta de l'Eixample,41.39116,2.17114,Entire home/apt,158,2,5,2021-03-04,1.40,40,95,5,HUTB-003558
45969484,One-bedroom modern apartment,5614931,Fisa Rentals,Eixample,la Dreta de l'Eixample,41.39116,2.17114,Entire home/apt,158,1,3,2021-08-13,3,40,124,3,HUTB-007594
